Project,Commit_Removal,File_Path,SATD_Comment,API_Added,API_Deleted,ISMethodChangedBasedOnAPI,Category
Camel,617a3ed5b2795401a81530a3176bdb0b2be18d50,camel-script/src/main/java/org/apache/camel/builder/script/ScriptBuilder.java,// TODO consider character sets?,java.io.InputStream; java.io.Reader,java.io.File; java.net.URL; org.springframework.core.io.FileSystemResource; org.springframework.core.io.Resource; org.springframework.core.io.UrlResource ,YES,FEATURE CHANGE
Camel,6444aebc6bdd7fece226b78096e46446d8091107,components/camel-web/src/main/java/org/apache/camel/web/resources/RouteResource.java,// TODO replace the Form class with an injected bean?,javax.ws.rs.FormParam,com.sun.jersey.api.representation.Form,NO,
Camel,68403097d1dbc6d2cdf00c20053e3e32c571c877,camel-core/src/main/java/org/apache/camel/management/mbean/ManagedEndpoint.java,// TODO: get from json schema,java.net.URI,,YES,FEATURE CHANGE
Camel,68be7260ab6c9e08c67767178b0aa2a91bb94d06,camel-xmpp/src/main/java/org/apache/camel/component/xmpp/XmppConsumer.java,// TODO: what should we do when a processing failure occurs??,org.jivesoftware.smack.Chat; org.jivesoftware.smack.SmackConfiguration; org.jivesoftware.smackx.muc.DiscussionHistory; org.jivesoftware.smackx.muc.MultiUserChat,java.util.Iterator; org.jivesoftware.smack.packet.RosterPacket,NO,
Camel,68be7260ab6c9e08c67767178b0aa2a91bb94d06,components/camel-xmpp/src/main/java/org/apache/camel/component/xmpp/XmppConsumer.java,// TODO: what to do with a RosterPacket other than debug logging it,org.jivesoftware.smack.Chat; org.jivesoftware.smack.SmackConfiguration; org.jivesoftware.smackx.muc.DiscussionHistory; org.jivesoftware.smackx.muc.MultiUserChat,java.util.Iterator; org.jivesoftware.smack.packet.RosterPacket,YES,FEATURE CHANGE
Camel,69b644cee878e1380e5e241abdc55ae8acd1da55,components/camel-spring/src/main/java/org/apache/camel/spring/CamelContextFactoryBean.java,// do special preparation for some concepts such as interceptors and policies // this is needed as JAXB does not build excaclty the same model definition as Spring DSL would do // using route builders. So we have here a little custom code to fix the JAXB gaps,,java.util.Arrays;java.util.Map,NO,
Camel,6e03fcff6889e3d4d6ac63f4048f251fd334d485,components/camel-jms/src/test/java/org/apache/camel/component/jms/JmsSimpleRequestLateReplyTest.java,// TODO: We should get this late reply to work //assertEquals("Late Reply"; out.getOut().getBody());,javax.jms.Destination; javax.jms.JMSException; javax.jms.TemporaryQueue,,NO,
Camel,6f95bc93bf8c7f8f2934e809c5f1aafea34c76ad,components/camel-jms/src/test/java/org/apache/camel/component/jms/tx/JmsToJmsTransactedTest.java,// TODO: mark rollback only causes Spring TX to not rollback on JMS queue,,org.junit.Ignore,YES,TEST
Camel,6fae1913455279019c2dbcdc1199ab8685feaeba,components/camel-netty-http/src/main/java/org/apache/camel/component/netty/http/handlers/HttpServerMultiplexChannelHandler.java,// TODO: improve matching like we have done in camel-servlet; eg using candidates,java.util.ArrayList; java.util.List;java.util.Iterator,,NO,
Camel,7d7b38b0cacfdce8727af62d44b7fafdc1002627,components/camel-websocket/src/main/java/org/apache/camel/component/websocket/DefaultWebsocket.java,// consumer is not set; this is produce only websocket // TODO - 06.06.2011; LK - deliver exchange to dead letter channel,org.slf4j.Logger; org.slf4j.LoggerFactory,,YES,FEATURE CHANGE
Camel,7e649e72b93b56ecc27fd108a3cf39a20c230531,components/camel-hazelcast/src/test/java/org/apache/camel/component/hazelcast/HazelcastAtomicnumberProducerTest.java,/** will be fixed in next hazelcast version (1.9.3). Mail from Talip (21.02.2011): * * I see. Hazelcast.shutdownAll() should cleanup instances (maps/queues). I just fixed it. * * AtomicNumber.destroy() should also destroy the number and if you call atomicNumber.get() after the destroy it should throw IllegalStateException. It is also fixed. * * set test to true by default. TODO: if we'll get the new hazelcast version I'll fix the test. */",com.hazelcast.core.Hazelcast;,,YES,TEST
Camel,7e649e72b93b56ecc27fd108a3cf39a20c230531,components/camel-hazelcast/src/test/java/org/apache/camel/component/hazelcast/HazelcastAtomicnumberProducerForSpringTest.java,/* * will be fixed in next hazelcast version (1.9.3). Mail from Talip (21.02.2011): * * I see. Hazelcast.shutdownAll() should cleanup instances (maps/queues). I just fixed it. * * AtomicNumber.destroy() should also destroy the number and if you call atomicNumber.get() after the destroy it should throw IllegalStateException. It is also fixed. * * set test to true by default. TODO: if we'll get the new hazelcast version I'll fix the test. */",com.hazelcast.core.Hazelcast;,,YES,TEST
Camel,7f70df09b02c5a95b53bb9351c67ba1c750bbc15,camel-core/src/main/java/org/apache/camel/component/file/strategy/NewMarkerFileExclusiveReadLockStrategy.java,// TODO create the .camelFile,java.io.RandomAccessFile;java.nio.channels.Channel;java.nio.channels.FileChannel;java.nio.channels.FileLock;org.apache.camel.util.ExchangeHelper;org.apache.camel.util.ObjectHelper;org.apache.commons.logging.Log;org.apache.commons.logging.LogFactory,,YES,FEATURE ADDITION
Camel,7f70df09b02c5a95b53bb9351c67ba1c750bbc15,camel-core/src/main/java/org/apache/camel/component/file/strategy/NewFileLockExclusiveReadLockStrategy.java,// TODO: release read lock from above; as we should hold id during processing,java.nio.channels.Channel,,YES,FEATURE ADDITION
Camel,83b170b7550c71cd35e561432ebcfe891e1fabfc,components/camel-saxon/src/test/java/org/apache/camel/component/xquery/XQueryURLBasedConcurrencyTest.java,// TODO: Work in progress,java.util.random,,NO,
Camel,925169017a1e575e63bb9de8fc258ac4c9c196bc,camel-core/src/main/java/org/apache/camel/component/bean/BeanInfo.java,// if the class is not public then fallback and use interface methods if possible // this allow Camel to invoke private beans which implements interfaces,java.util.HashSet; java.util.Set,,YES,FEATURE CHANGE
Camel,930d4fe62acb203ded8f8ed21aa5fcc0aa0cb3ca,tests/camel-itest-karaf/src/test/java/org/apache/camel/itest/karaf/CamelIgniteTest.java,// TODO: we need to install some ignite stuff first (see the info of camel feature),java.net.URI,org.junit.Ignore,YES,TEST
Camel,95ceac0508209134eb6b9d6141c5bdce145e490b,camel-core/src/main/java/org/apache/camel/builder/xpath/MessageVariableResolver.java,// should we use other namespaces maybe?,org.apache.commons.logging.Log; org.apache.commons.loggings.LogFactory; java.util.HashMap; java.util.Map,,NO,
Camel,99e8e3c9acecf238d13a5551d113a29e30898b3e,camel-core/src/main/java/org/apache/camel/component/file/GenericFile.java,// relative name is a bit more complex to set as newName itself can contain // folders we need to consider as well,java.io.IOException,,NO,
Camel,9a9e8041610ec05e9a35987ed6b748c4de341901,components/camel-mail/src/main/java/org/apache/camel/component/mail/MailBinding.java,// TODO: Use spring mail support to add the attachment,,java.util.Set,NO,
Camel,e3d6ef4b822ba5b684f42a73fe2a2d6355f850ba,tooling/maven/camel-package-maven-plugin/src/main/java/org/apache/camel/maven/packaging/PackageDataFormatMojo.java,// TODO: find model from camel-core and enrich to generate a .json,java.io.FileOutputStream; java.io.InputStream; java.net.URL; java.net.URLClassLoader; java.util.Iterator; org.apache.maven.artifact.Artifact,,YES,FEATURE ADDITION
Camel,e5c2ffb046b123597d227e72b0316a90868bbf8a,components/camel-swagger-java/src/main/java/org/apache/camel/swagger/RestSwaggerReader.java,// TODO: should be base path and a lot more,io.swagger.jaxrs.config.BeanConfig; io.swagger.models.parameters.BodyParameter; io.swagger.models.parameters.FormParameter; io.swagger.models.parameters.HeaderParameter; io.swagger.models.parameters.Parameter; io.swagger.models.parameters.PathParameter; io.swagger.models.parameters.QueryParameter,io.swagger.config.SwaggerConfig,NO,
Camel,ebaa0213788bd40edc39cf20e59352caab2fcbc3,components/camel-websocket/src/main/java/org/apache/camel/component/websocket/WebsocketComponent.java,// TODO - chm - 25/05 // Why do we have to do a setConsumer on the Servlet ?,,java.io.IOException; java.lang.reflect.Constructor; java.net.URI; java.security.GeneralSecurityException; java.servlet.Servlet ,NO,
Camel,efefba426ad9635332e185b743954dddcc441d39,camel-jms/src/main/java/org/apache/camel/component/jms/JmsConfiguration.java,// TODO we could allow a spring container to auto-inject these objects?,,javax.jms.TopicPublisher; org.springframework.jms.core.JmsTemplate102;org.springframework.jms.listener.DefaultMessageListenerContainer102;  org.springframework.jms.listener.SimpleMessageListenerContainer102,YES,COMPATIBILITY
Camel,f138f4564d588c7b65f10c04181a70858cea3f6f,components/camel-crypto/src/main/java/org/apache/camel/converter/crypto/PGPDataFormat.java,//TODO why do we need a byte array input stream? --> streaming not possible?,java.io.ByteArrayOutputStream,java.io.ByteArrayInputStream; org.apache.commons.io.IOUtils; org.bouncycastle.util.io.Streams,YES,FEATURE CHANGE
Camel,f138f4564d588c7b65f10c04181a70858cea3f6f,components/camel-crypto/src/main/java/org/apache/camel/converter/crypto/PGPDataFormat.java,//TODO we should enable streaming here with CashedOutputStream!!,java.io.ByteArrayOutputStream,java.io.ByteArrayInputStream; org.apache.commons.io.IOUtils; org.bouncycastle.util.io.Streams,YES,FEATURE CHANGE
Camel,f599b0649a49dbbaf02e7fb299228054921f99cb,camel-core/src/main/java/org/apache/camel/processor/DeadLetterChannel.java,// if the exchange is transacted then let the underlying system handle the redelivery etc. // this DeadLetterChannel is only for non transacted exchanges // TODO: Should be possible to remove with Claus got the TX error handler sorted,,org.apache.commons.logging.Log; org.apache.commons.logging.LogFactory,NO,
Camel,f599b0649a49dbbaf02e7fb299228054921f99cb,camel-core/src/main/java/org/apache/camel/processor/DeadLetterChannel.java,// if the exchange is transacted then let the underlying system handle the redelivery etc. // this DeadLetterChannel is only for non transacted exchanges // TODO: Should be possible to remove with Claus got the TX error handler sorted,,org.apache.commons.logging.Log; org.apache.commons.logging.LogFactory,NO,
Camel,f6525494a0890a9feb6ca0107d4e1a336e5e9cb7,camel-core/src/main/java/org/apache/camel/management/mbean/ManagedDataFormat.java,// TODO: not yet implemented,java.util.List; java.util.Map; javax.management.openmbean.CompositeData; javax.management.openmbean.CompositeDataSupport; javax.management.openmbean.CompositeType; javax.management.openmbean.TabularDataSupport,,YES,FEATURE ADDITION
Camel,f6cefc74e6455593a9f64f79c9218de0a4f44e1d,components/camel-elsql/src/main/java/org/apache/camel/component/elsql/ElsqlEndpoint.java,// TODO: must be named, org.springframework.jdbc.core.JdbcTemplate,,YES,FEATURE ADDITION
Camel,fa8ff446cce84d236b7310c70a9191f85529a886,components/camel-cxf/src/main/java/org/apache/camel/component/cxf/CxfSoapBinding.java,//TODO use the type converter to do this kind of thing,org.apache.commons.logging.Log; org.apache.commons.logging.LogFactory,,NO,
Camel,fcd2accf2d9417531a19bd0d6527b60001b83f6a,camel-core/src/main/java/org/apache/camel/converter/jaxp/StaxConverter.java,//FIXME - if not woodstox; this will likely not work well //likely should copy CXF's W3CDOM stuff,,javax.xml.transform.dom.DOMResult; javax.xml.transform.dom.DOMSource,YES,MAINTAINABILITY
Camel,ff5c824476fbf30fd1394439e93a870f4b6e5411,camel-core/src/main/java/org/apache/camel/component/file/FileComponent.java,// TODO: CAMEL-1112 having out-of-box sorters for by name; by filestamp; etc.; maybe even a reverse order,java.util.Iterator,,YES,FEATURE ADDITION
Camel,ffda80ee7a1c9305050071f2207a7c2905069f47,components/camel-google-drive/src/test/java/org/apache/camel/component/google/drive/DriveFilesIntegrationTest.java,// TODO provide parameter values for copy,java.util.Iterator; com.google.api.client.http.FileContent;com.google.api.client.util.DateTime;  com.google.api.services.drive.model.File;  com.google.api.services.drive.model.FileList,,YES,TEST
Camel,ffda80ee7a1c9305050071f2207a7c2905069f47,components/camel-google-drive/src/test/java/org/apache/camel/component/google/drive/DriveFilesIntegrationTest.java,// TODO provide parameter values for delete,java.util.Iterator; com.google.api.client.http.FileContent;com.google.api.client.util.DateTime;  com.google.api.services.drive.model.File;  com.google.api.services.drive.model.FileList,,YES,TEST
Camel,ffda80ee7a1c9305050071f2207a7c2905069f47,components/camel-google-drive/src/test/java/org/apache/camel/component/google/drive/DriveFilesIntegrationTest.java,// TODO provide parameter values for get,java.util.Iterator; com.google.api.client.http.FileContent;com.google.api.client.util.DateTime;  com.google.api.services.drive.model.File;  com.google.api.services.drive.model.FileList,,YES,TEST
Camel,ffda80ee7a1c9305050071f2207a7c2905069f47,components/camel-google-drive/src/test/java/org/apache/camel/component/google/drive/DriveFilesIntegrationTest.java,// TODO provide parameter values for insert,java.util.Iterator; com.google.api.client.http.FileContent;com.google.api.client.util.DateTime;  com.google.api.services.drive.model.File;  com.google.api.services.drive.model.FileList,,YES,TEST
Camel,ffda80ee7a1c9305050071f2207a7c2905069f47,components/camel-google-drive/src/test/java/org/apache/camel/component/google/drive/DriveFilesIntegrationTest.java,// TODO provide parameter values for patch,java.util.Iterator; com.google.api.client.http.FileContent;com.google.api.client.util.DateTime;  com.google.api.services.drive.model.File;  com.google.api.services.drive.model.FileList,,NO,
Camel,ffda80ee7a1c9305050071f2207a7c2905069f47,components/camel-google-drive/src/test/java/org/apache/camel/component/google/drive/DriveFilesIntegrationTest.java,// TODO provide parameter values for touch,java.util.Iterator; com.google.api.client.http.FileContent;com.google.api.client.util.DateTime;  com.google.api.services.drive.model.File;  com.google.api.services.drive.model.FileList,,YES,TEST
Camel,ffda80ee7a1c9305050071f2207a7c2905069f47,components/camel-google-drive/src/test/java/org/apache/camel/component/google/drive/DriveFilesIntegrationTest.java,// TODO provide parameter values for trash,java.util.Iterator; com.google.api.client.http.FileContent;com.google.api.client.util.DateTime;  com.google.api.services.drive.model.File;  com.google.api.services.drive.model.FileList,,YES,TEST
